Timestamp,Aimag,Title (100),Title Korean (100),Description (255),Description Korean (255),About,About Korean,Cover Image (Link),Thumbnail Image (Link)
1/23/2023 7:01:26,Bayan-Ölgii,Bayan-Ölgii,바양울기 아이막,"The capital of the province is Ulgiy, which is 1636 kilometers from Ulaanbaatar. The size of the territory is 45.8 thousand square kilometers. The population is 88056. The number of livestock is 1126900 as of 2010. The province was established in 1940. The majority of the population are Cossacks, and the Uriankhai and Tuva tribes of Mongolia live there. It is located in the westernmost part of Mongolia at an altitude of 1301-4374 meters above sea level in the Altai mountains. It shares a 450-kilometer border with the People's Republic of China along the ridge of the Altai Mountains in the west, and a 225-kilometer border with the Russian Federation in the north along the Seailham Mountains. The climate is generally cool due to its location in the highlands. There are more than 80 freshwater lakes such as Dayan, Khoton, and Khorgo. There are more than 100 streams and more than 200 springs, such as Hovd, Tsagaan, Sogoot, Yolt, etc. The Hovd River is 506 kilometers long. Lake Tolbo and Achit have fishing resources.","1940년에 설립되었고 중심지는 울기시로 울란바토르에서 1636km 떨어져 있다. 아이막 크기는 총 45.800km2 이며, 2015년 통꼐로 의하면 인구는 100.189만명이다. 대부분 카자크족이 살고 있다. 몽골의 가장 서쪽으로 알타이산맥에 속하며. 해발 1.301-4.374m 에 위피한다. 서쪽으로 중국과 450km로 경계하여, 북쪽으로 스을헴 산맥따라 러시아와 225km로 접한다.  ",,,demo/provinces/altaitabanbogd-1.jpg,demo/provinces/Баянөлгий.jpg
1/23/2023 7:09:53,Arkhangai,Arkhangai,아르항가  아이막,"The capital of the province is Tsetserleg, 480 kilometers from Ulaanbaatar. The territory is 55.3 thousand square kilometers. It has 19 administrative districts, 99 districts, and a population of 93,159. According to the results of the 2011 state livestock census, the number of livestock was 2,679,200, ranking second in the country. and 196,100 horses and 302,000 cows ranked second in the country, and 1,327,500 sheep ranked third in the country. In 1923, Tsetserlegmandal Mountain Province was established on the site of Sain Noyon Khan Province through administrative changes. In 1931, the province, which had 71 provinces and 16 villages, was transformed into Arkhangai province with 35 provinces. Average 2414 meters above sea level. The highest point is the 3539-meter high Harlagtai mountain. The lowest point is the Orkhon Tamir delta at 1290 meters. It borders Khuvsgul province in the north, Bulgan province in the east, Ovorkhangai province in the south, and Zavkhan province in the northwest. There are many skyscrapers such as Suvarga Khairkhan, Harlagtay Sardag, Zagastain Plyegar, Tsagaan Asgat, Noyon Khangai, Khan-Andur, and Tsogt Sumber, as well as many forested mountains such as Bugat, Tarwagatai, Gichgene, Khairhandavaa, and Bulgan. There are 844 fast-flowing rivers such as Tamir, Orkhon, Hanui, Hunui, Chuluut, north-south Terkh, Suman, Gichgene, Sogoot and Tsenher. There are 188 lakes and ponds such as Terkhyyin, Ogyi, Duro, Union, Khokh, Tsaidam, Duut, and Khedo. There are more than 50 hot and cold springs, such as Hadat, Uurti Kohoi, Muhar Hujirt, Cenkher, Shivert, Ulaan Berkh, Bor Tal, Tsagaan Soum, Chuluut, and Bumbat. Although minerals have not been fully explored in the province, there are rich reserves of coal, shale, iron and copper ore, manganese, crystal, and chert.",아르항가 아이막의 중심인 체체를렉시는 울란바토르에서 463km 떨어져 있다. 그 영토 크기는 55.300km2. 행정구역으로는 19솜과 99박으로 나뉜다. 2015년 통계에 의하면 인구는 92.059만명이다. ,,,demo/provinces/arkhangai-cover.png,demo/provinces/arkhangai-thumb.png
1/24/2023 5:31:46,Bayankhongor,Bayankhongor,바양헝거르 아이막,"Located in the center of Mongolia, the provincial capital is 630 kilometers away from Ulaanbaatar. The size of the territory is 116 thousand square kilometers. According to the results of 2010, the population is 76,085, the number of livestock is 1,963,000, and it ranks second in the country with 30,100 camels and 1,213,300 goats. In terms of administrative and territorial units, there are 20 sums and 101 teams. In the Altai and Khangai mountain ranges, there were six earthquakes of magnitude greater than 6 in 1909-1958, in 1957 there was an 11-magnitude earthquake in Ikh Bogd Mountain, and Lake Orog dried up six times in 1890-1986. It is very rich in minerals such as gold, copper, crystal, fluorspar, mica, marble, granite, asbestos, black lignite, a variety of earth paints, good quality clay, limestone, etc., and building materials and raw materials.","울란바토르에서 630km 떨어져 있다. 아이막 크기는 116.000km2이고 2018년 통계로 인구는 88,300만명이다. 본 아이막은 금,구리,수정,형석,대리석,화강암,석탄 등의 여러 지하자원과 석회암 등 여러 건축 재료도 풍부하다. 전지역에 석기, 청동기 시대의 무기와 도구, 여러 장신구. 암각화, 기념비. 사슴돌, 석인상 분포하고 있다. ",,,demo/provinces/bayankhongor-cover.png,demo/provinces/bayankhongor-thumb.png
1/25/2023 3:11:14,Govisümber,Govisümber,고비숨베르 아이막,"Govsumber province is located in the South-Eastern part of the central region of Mongolia. The size of the territory is 5540 square kilometers. It is bordered by Bayan and Bayanjargalan sub-districts of Central Province in the north, Delgerhaan and Darkhan sub-districts of Khentii province in the north-east, and Dalanjargalan sub-district of Dundgov province in the south. The capital of the province is Choir, which is 223 kilometers from Ulaanbaatar. It consists of three sub-districts: Bayantal, Shiveegov, and Sumber.","몽골 중앙 지역의 동부에 위치하는 이 아이막의 크기는 5.540km2로 몽골에서 가장 작은 아이막이다. 울란바토르에서 223km 떨어져있다. 본 아이막 서남부에 희귀한 약초와 야생염소, 산양 등 보기 드문 동물들이 서식하는 아름다운 산이 존재한다.   ",,,demo/provinces/Говьсүмбэр2.jfif,demo/provinces/Говьсүмбэр.jpg
1/25/2023 6:39:21,Darkhan-Uul,Darkhan-Uul,다르항올 아이막,"The first foundation stone of Darkhan City was laid in ""Burkhant Valley"" on October 17, 1961. developed with the help of Darkhan metallurgical plant was established with the help of technical and economic cooperation from Japan. Darkhan city belongs to the Orkhon-Selen basin. The banks of the Khaara River are located in the Burhant Valley, at an altitude of 700 m above sea level, with an area of 327.5 thousand hectares and an extreme climate. It is located 219 km from Ulaanbaatar city.","울란바토르 시 다음으로 큰 도시며 수도에서 223km 떨어져 있다. 아이막 크기는 327.500헥타르이다. 다르항 도시를 1961년 구소련 , 체코, 동독 등의 지원으로 설립하였다. 교통,통신,전력 등 기반산업이 비교적 발전한 산업, 문화, 교육과 과학의 중심지 중의 하나이다. 뿐만 아니라 건축자재 원료와 석탄, 금,철광석 등 지하자원이 풍부하다. ",,,demo/provinces/darkhan-uul-cover.png,demo/provinces/Дарханf.jpg
1/25/2023 8:05:51,Dornogovi,Dornogovi,더른고비 아이막,"Dornogovi province was established in 1931 and has 14 districts and 64 teams. The size of the territory is 109 thousand square kilometers. Dornogovi province is located in the south-eastern part of Mongolia, bordering with Umnogov, Dundgov, Govsumber, Khentii and Sukhbaatar provinces. It shares a 600 km border with China. The railway, which is the main axis of the central region's development, connects the northern and southern kingdoms. 42.8 percent of all sums of the province and 61 percent of the population live along this road. The capital of the province, Sainshand, is located 450 km from the capital city of Ulaanbaatar.","더른고비아이막은 남고비를 비록한 다섯 아이막과 경계할 뿐만 아니라 중국과도 접한다. 아이막의 중심은 사잉샨드시이며 울란바타르에서 463KM 떨어져 있고 철도를 따라 위치한다. 구리,형셕,석탄, 석회암,비금속, 금, 은 등 38종류의 지하자원으로 풍부하다. ",,,demo/provinces/dornogovi-cover.png,demo/provinces/dornogovi-thumb.png
1/25/2023 9:09:42,Dornod,Dornod,더르너드 아이막,"Dornod province is located in the easternmost part of Mongolia. It is 655 kilometers away from Ulaanbaatar, and the territory of the province is a plain with hills 560-1300 meters above sea level. Applies to the eastern region by zoning. In the north, it borders with two countries: Russia (Uver Baigal region), and in the east, China (Kholenbuir, Hyangan, and Shiliyin Rivers of the Republic of Uzbekistan). Within the country, Sukhbaatar and Khentii provinces are divided. Flat land prevails. Khokh Lake Depression (560 meters above sea level) in the province is known as the lowest place in Mongolia.","북쪽으로 러시아와의 치타도와  접하고 서남쪽으로 중국 내몽골 흘릉뷔르, 향강고 접한다. 지역 크기는 123.500km2이다. 2015년 통계에 의하면 인구는 76.476auddl rjwnsgksek. rkcnrdms 1.555.425마리로 집계되었다. 아이막의 중심지는 초이발상이고 울란바타로시에서 655km 떨어져 있다. 해발 560-1.300m이다. 남부에 메넹 초원, 탐삭, 마타드 등 드넓은 초원이 있다. 몽골의 가장 낮은 지대인 후흐호수는 해발 560m이다. 더르너드 아이막에는 여러 자연보호지역이 많다.  더르너드 아이막에는 석탄, 형석, 금, 볼프람, 구리, 수정, 철광석, 우라늄, 석회암, 소금 등 지하자원이 풍부하다. 기반사업이나 교통이 비교적 발달된 아이막이다.",,,demo/provinces/Дорнод2.jfif,demo/provinces/Дорнод.jpeg
1/26/2023 6:24:31,Dundgobi,Dundgobi,돈드고비 아이막,"The center of Dundgov province is Mandalgov city. It has 15 soums and 66 districts. It is 270 km from Ulaanbaatar and borders with Umungov, Central provinces, Govsumber, Dornogovi, and Vorkhangai provinces. Territory: 7469.0 thousand hectares of territory, occupying 4.5% of the total territory of Mongolia. Infrastructure: Saintsagaan sum, the capital of the province, is connected with Huld, Luus, Delgertsogt sum, Ulaanbaatar city and Ulaanbaatar city by a paved road. It is connected with other districts and provinces by local roads. The provincial center and Sumy center are connected to the integrated power system and all cellular telephone networks. Climate: It has 4 seasons. The average air temperature is -16 to -19 degrees in winter from November to March, +17 to +21 degrees in summer from April to June, annual precipitation is 95-150 mm, and the number of sunny days a year is high. Terrain: The highest elevation of the flat land is 1530 m above sea level, the lowest is 980 m, and the highest Mount Delgerhangai is 1913 m above sea level. Natural mud and sand dunes with unique formations such as Tsagaan Suvarga with the remains of the ancient seabed, Morin Tolog Tsav, Oosh Dune, granite mountains such as Big Land Stone and Baga Land Stone, sedges and melted groves, Oldoh, Three Mnts, Ergeneg, Haya, Namnee. , with beautiful places such as Nomgon, Khairkhan, and Zagi Us.","돈드고비    아이막은 울란바토르에서 260km 떨어져 있다. 아이막의 크기는 74.700km2 이다.  판석묘, 옛 사원터, 비석 등 유적지가 많다. 석탄, 형석, 하얀 주석, 아연, 석고, 철,금,은, 우라늄, 자연산 페인트 등 33종류의 지하자원이 있다. ",,,demo/provinces/dundgovi-cover.png,demo/provinces/dundgovi-thumb.png
1/26/2023 7:07:27,Zavkhan,Zavkhan,잡항 아이막,"Zavkhan Province, 957 km from Ulaanbaatar, is located in the northwestern part of Mongolia between 930 16' and 990 12' east longitude and 460 33' and 500 23' north latitude. It is 610 km from north to south, 520 km from west to east, and has a vast territory of 82.5 thousand km². Zavkhan province is located in the northwestern part of the country, namely the western part of the Khangai mountain plateau, the eastern part of the Great Lakes depression, and the northern part of the branch mountains of the Mongolian Altai mountain range. The territory of Zavkhan province is about 500 meters higher than the average altitude of Mongolia.","몽골 서북부의 위치하며 면적은 82.500km2 이다. 울란바토르에서 984km 떨어져 있다.만년설산인 어트겅텡게르,울랑할그 등 아름다운 관광지로서 암각화나 삿ㄹ, 18세기 군대성벽과 상업도시, 사원터, 농사 흔적 등이 보이느는 100여 문화재가 있어 솜과 아이막이 국가 보호를 받고 있다. ",,,demo/provinces/Завхан.jpeg,demo/provinces/Завхан.jpeg
1/26/2023 9:04:26,Orkhon,Orkhon,어르헝 아이막,"Orkhon Province, located 228 km from Ulaanbaatar, was founded in 1976 as Erdenet City in Bulgan Province. In 1994, Orkhon Province was reorganized with Bayan-Andur and Jargalant districts. Erdenet, the capital of the province, is 381 kilometers away from Ulaanbaatar. The construction of Erdenet began in 1973 in the valley behind ""Erdenet Mound"" and was first established in 1974 under the name ""Erdenet"" Committee of Bulgan province. Taking into account the population growth rate, in 1976 it was organized as Erdenet City and began to develop into the third largest city in Mongolia. It was established with a population of 7.8 thousand in 1655 households. Now it has become a large industrial district with 6 micro-districts and developed infrastructure. The area is 844 square kilometers. As of 2010, the population is 90,700, and the number of livestock is 169,200. In addition to restoring the activities of the monastery where Erdenet was worshiped, Buddhist activities are being conducted in about 10 temples. ""Erdenet"" mountain concentration plant, 1.2 million square kilometer carpet production ""Erdenet carpets"", ""Erdenet food"", ""Erdmin"", ""Erdenet metal"", wool cashmere processing ""Erdenet cashmere"", ""Petroleum production"", ""Dulaan"" More than 20 factories, including power plants, are operating.","울란바토르에서 381km 떨어져 있다. 아이막의 면적은 844km2 이다. 아이막 중심인 에르데네트시 시에 카페트,식품,금속, 케시미어 공장 등 약 20여 공장이 운영되고 있다. 또한 라마게겡사원을 비롯해서 10여 사원 있다. ",,,demo/provinces/orkhon-cover.png,demo/provinces/orkhon-thumb.png
