Timestamp,Title (100),Title Korean (100),Description (255),Description Korean (255),About,About Korean,Open Hour,Close Hour,Cover Image (Link),Thumbnail Image (Link),Category
1/26/2023 6:11:10,Hazara,Hazara,The first Indian restaurant in Mongolia.,몽골 최초 인도 레스토랑.,"""Hazara"": Our name comes from the Hazara people who settled in the northern mountains of Afghanistan. The Khazars entered the army of Genghis Khan in the 13th century, so they are related to Mongolia. They are proud, independent and kind people. Our Food; North Indian border cuisine is based on traditional healthy cooking methods. Spices are used sparingly, with more emphasis on flavor and herbs. A tandoor (clay grill) is used to roast meat for flavor. A lot of use. dry fruits and cream will give a very thick and soft taste.Our architect: We have created the environment of Havelis of Rajasthan.Ancient gates, zarokas and colorful tents create a warm and romantic atmosphere.","""Hazara"" 우리의 이름은 아프가니스탄 북부 산지에 정착한 Hazara 사람들에서 유래되었습니다. 하자르인들은 13세기에 징기스칸의 군대에 입대하여 몽골과 관련이 있습니다. 그들은 자랑스럽고 독립적이며 친절한 사람들입니다. 우리의 음식; 북인도 국경 요리는 전통적인 건강 요리 방법을 기반으로 합니다. 향신료는 풍미와 허브에 더 중점을 두고 아껴서 사용합니다. 맛을 내기 위해 고기를 구울 때 탄두르(점토 그릴)를 사용합니다. 많은 사용. 건조 과일과 크림은 매우 두껍고 부드러운 맛을 줄 것입니다. 우리의 건축가: 우리는 라자스탄의 Havelis의 환경을 만들었습니다. 고대 문, 자로카 및 다채로운 텐트는 따뜻하고 낭만적인 분위기를 만듭니다.",10:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/06/e5/89/bd/hazara.jpg,https://media-cdn.tripadvisor.com/media/photo-o/03/ee/63/91/hazara.jpg,"Indian, Asian"
1/26/2023 6:16:23,Namaste,Namaste,Indian restaurant,인도 레스토랑,"At Namaste Restaurant, we strongly believe that our business is based on our valued customers/guests"". Therefore, whatever we do here, we aim to make our guests happy and satisfied. You are the most important element of our business. We are proud. Our business ethics are liked and rewarded by our guests. Those who voted for the ""TOP CHOICE"" Indian restaurant in Ulaanbaatar in the ""Lonely Planet-(2011 edition)"" travel guide. Once again, I would like to express my sincere thanks. Those who supported us in this journey, we could not have reached this far without you. .","Namaste 레스토랑에서 우리는 우리 사업이 우리의 소중한 고객/손님을 기반으로 한다고 굳게 믿습니다. 그러므로 우리가 여기에서 무엇을 하든지 우리는 손님을 행복하고 만족스럽게 만드는 것을 목표로 합니다. 당신은 우리 사업의 가장 중요한 요소입니다. 우리는 자랑스럽습니다. ""론리플래닛-(2011년판)"" 여행 가이드에서 울란바토르의 ""TOP CHOICE"" 인도 레스토랑에 투표해 주신 모든 분들께 다시 한 번 진심으로 감사드립니다. . 이 여정을 응원해주신 분들, 여러분이 없었다면 여기까지 올 수 없었을 것입니다. .",11:00:00 AM,9:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-w/0c/52/e8/7e/namaste.jpg,https://media-cdn.tripadvisor.com/media/photo-o/12/a2/f4/06/chicken-biryani-with.jpg,"Indian, Asian"
1/26/2023 6:23:46,Los Bandidos,Los Bandidos,It is the first Mexican restaurant in Mongolia.,몽골 최초 멕시코 레스토랑이다.,The first exclusive Mexican and Indian Restaurant in Ulaanbaatar.,울란바토르 최초의 고급 멕시코 및 인도 레스토랑.,10:00:00 AM,11:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/fb/27/a6/los-bandidos.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/fb/21/bc/kebab-plater.jpg,"Mexican, Indian, Asian"
1/26/2023 6:26:35,The Green Zone,The Green Zone,"Sandwiches, salads, coffee shops","샌드위츠, 샐러드, 커피 전문점","Located just behind Zanabazar Museum, The Green Zone serves fresh sandwiches, soups, salads, pastries, cakes, beer, wine, sodas, tea and coffee. Also: good music, good atmosphere, friendly staff, wifi and interesting Mongolian clothing options such as jackets, hats, shirts... I'm sure we'll see you soon!","자나바자르 박물관 바로 뒤에 위치한 The Green Zone에서는 신선한 샌드위치, 수프, 샐러드, 페이스트리, 케이크, 맥주, 와인, 탄산음료, 차, 커피를 제공합니다. 또한: 좋은 음악, 좋은 분위기, 친절한 직원, 와이파이 및 재킷, 모자, 셔츠와 같은 흥미로운 몽골 의류 옵션... 곧 뵙겠습니다!",9:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/08/18/c3/bc/the-green-zone.jpg,https://media-cdn.tripadvisor.com/media/photo-o/10/b5/0c/79/remnants-from-the-past.jpg,"French, European, Cafe"
1/26/2023 6:30:25,Route 22 Restaurant & Wine Lounge,Route 22 Restaurant & Wine Lounge,European food. wine lounge,유럽 음식. 와인 라운지,"We offer our guests a selection of dining options from the world's finest wine list. Premium Mongolian beef and lamb, Norwegian salmon and Australian Wagyu beef are used. Please notify your waiter or waitress if you have any food allergies. Bon appetit!","우리는 손님에게 세계 최고의 와인 목록에서 다양한 식사 옵션을 제공합니다. 프리미엄 몽골산 소고기와 양고기, 노르웨이산 연어, 호주산 와규를 사용합니다. 음식 알레르기가 있는 경우 웨이터 또는 웨이트리스에게 알려주십시오. 드세요!",10:00:00 AM,11:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/11/da/08/3d/getlstd-property-photo.jpg,https://media-cdn.tripadvisor.com/media/photo-w/14/a6/5c/40/photo0jpg.jpg,"European, Fusion, Wine Bar"
1/26/2023 6:32:31,KK Restaurant & Lounge,KK Restaurant & Lounge,Cocktail lounge specialty store,칵테일 라운지 전문점 ,"Located in the heart of the famous Kempinski Hotel Khan Palace in the center of Ulaanbaatar, Mongolia, ""Kempinski Khan Palace"" is operating in the capital for the first time. Finally, a special meeting place where friends, colleagues and family can relax and share the true spirit of the Mediterranean. Indulge in Latin fever as you sample delicious wines and specialty cocktails infused with classic Spanish and Latin flavors. Every day, the chef offers a special selection of products for 2-6 people.","몽골 울란바토르 중심에 있는 유명한 켐핀스키 호텔 칸 팰리스의 중심부에 위치한 ""켐핀스키 칸 팰리스""는 수도에서 처음으로 운영됩니다. 마지막으로 친구, 동료, 가족이 휴식을 취하고 지중해의 진정한 정신을 공유할 수 있는 특별한 만남의 장소입니다. 고전적인 스페인과 라틴 풍미가 가미된 ​​맛있는 와인과 스페셜티 칵테일을 맛보며 라틴 열병에 빠져보세요. 매일 셰프가 2~6인용 특별 제품을 제공합니다.",10:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/8b/ef/97/new-kk-tapas-restaurant.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/8b/ef/df/new-kk-tapas-restaurant.jpg,"Bar, International, Mediterranean, Spanish, Mongolian"
1/26/2023 6:37:02,Hutong Restaurant,Hutong Restaurant,Chinese duck restaurant,중국 오리요리 전문점 ,"Bringing unique Chinese cuisine and culture to the heart of the city, Hutong Restaurant serves the best duck in Beijing and a variety of options to suit everyone's tastes. With an unbeatable backdrop of the city; Undoubtedly, our private dining rooms are perfect for celebrations, intimate family gatherings, and relaxed, formal corporate dining.","도시의 중심부에 독특한 중국 요리와 문화를 선사하는 Hutong 레스토랑은 베이징 최고의 오리 요리와 모든 사람의 입맛에 맞는 다양한 옵션을 제공합니다. 타의 추종을 불허하는 도시를 배경으로; 의심할 여지 없이 프라이빗 다이닝룸은 축하 행사, 친밀한 가족 모임, 편안하고 격식 있는 기업 식사에 적합합니다.",11:00:00 AM,9:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/0a/6b/9d/d3/main-dining-hall.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/f6/ec/bc/peking-duck.jpg,"Chinese, Asian"
1/26/2023 6:39:39,Bosco Verde,Bosco Verde,"Italian, European vegan restaurant","이탈리아, 유럽 종류의 비건 레스토랑 ","We are the first Italian and European vegan restaurant in Ulaanbaatar, located in the center of the capital. Serving Italian food such as spaghetti, tortolini, lasagna, pizza, Italian and European soups, coffee/espresso, cappuccino, etc. Free VIP room for dinner with our family or friends. We also serve party dinners and finger foods. To order, we can organize birthday parties, family and friends parties with music, disco or singing.","수도의 중심에 위치한 울란바토르 최초의 이탈리아 및 유럽식 비건 레스토랑입니다. 스파게티, 토르톨리니, 라자냐, 피자, 이탈리아 및 유럽 수프, 커피/에스프레소, 카푸치노 등 이탈리아 음식 제공 가족 또는 친구와 저녁 식사를 위한 무료 VIP 룸. 파티 디너와 핑거 푸드도 제공합니다. 주문하기 위해 음악, 디스코 또는 노래와 함께 생일 파티, 가족 및 친구 파티를 구성할 수 있습니다.",10:00:00 AM,8:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/0e/1f/16/de/outside-look.jpg,https://media-cdn.tripadvisor.com/media/photo-o/0e/18/32/61/cream-soup.jpg,European
1/26/2023 6:42:28,Monet Fine Dining,Monet Fine Dining,European food. wine shop,유럽 음식. 와인 전문점,"We offer our guests an impressive list of the world's best wines to complement your exquisite gourmet cuisine, while enjoying panoramic views of the city and an open view of our busy kitchen. We use premium Mongolian beef and lamb, Norwegian salmon straight from Korea, scallops, Australian beef steak, Australian Wagyu beef, New Zealand lamb and green mussels from Australia. We proudly promote healthy eating on our menu with a selection of healthy eating, vegetarian, healthy breads, rye rolls, whole wheat rolls, carrot and nut rolls, cornmeal rolls, whole pies and more, baked fresh every morning. the kitchen. Please notify your waiter or waitress if you have any food allergies. Bon appetit!","도시의 탁 트인 전망과 분주한 주방의 탁 트인 전망을 즐기면서 정교한 미식 요리를 보완할 수 있는 세계 최고의 와인 목록을 손님들에게 제공합니다. 프리미엄 몽골산 쇠고기와 양고기, 한국산 노르웨이산 연어, 가리비, 호주산 쇠고기 스테이크, 호주산 와규 쇠고기, 뉴질랜드산 양고기, 호주산 초록홍합을 사용합니다. 우리는 건강한 식습관, 채식, 건강한 빵, 호밀 롤, 통밀 롤, 당근 및 견과류 롤, 옥수수 가루 롤, 통 파이 등을 선택하여 매일 아침 신선하게 구운 메뉴로 건강한 식습관을 자랑스럽게 홍보합니다. 부엌. 음식 알레르기가 있는 경우 웨이터 또는 웨이트리스에게 알려주십시오. 드세요!",12:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/a8/b7/00/restaurante.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/a8/bd/31/costillas.jpg,"European, Contemporary"
1/26/2023 6:45:07,Rebelle Restaurant & Bar,Rebelle Restaurant & Bar,Traditional and mixed cuisine restaurants,전통 및 복합 요리 레스토랑,"Rebelle is a unique restaurant concept that offers multicultural cuisine, from traditional to fusion cuisine. Our goal is food quality and convenience. We have a summer patio and seasonal BBQ.",Rebelle은 전통 요리부터 퓨전 요리까지 다문화 요리를 제공하는 독특한 레스토랑 컨셉입니다. 우리의 목표는 음식의 질과 편리함입니다. 우리는 여름 파티오와 계절 BBQ가 있습니다.,11:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/07/d5/5d/10/soup-bar.jpg,https://media-cdn.tripadvisor.com/media/photo-w/1a/30/c4/ae/soup-bar-restaurant.jpg,"Moroccan, Mediterranean, European, Asian, Fusion, Middle Eastern, Soups"
